;0
1690-01;30
1690-02;18
1690-03;27
1690-04;6
1690-05;17
1690-06;6
1690-07;8
1690-08;19
1690-09;22
1690-10;14
1690-11;16
1690-12;12
1691-01;19
1691-02;20
1691-03;21
1691-04;7
1691-05;8
1691-06;8
1691-07;7
1691-08;8
1691-09;7
1691-10;5
1691-11;12
1691-12;18
1692-01;14
1692-02;13
1692-03;22
1692-04;14
1692-05;17
1692-06;15
1692-07;12
1692-08;15
1692-09;19
1692-10;19
1692-11;15
1692-12;14
1693-01;18
1693-02;20
1693-03;17
1693-04;16
1693-05;15
1693-06;12
1693-07;8
1693-08;10
1693-09;10
1693-10;14
1693-11;9
1693-12;11
1694-01;16
1694-03;13
1694-04;13
1694-05;6
1694-06;14
1694-07;5
1694-08;5
1694-09;6
1694-10;16
1694-11;13
1694-12;11
1695-01;12
1695-02;17
1695-03;10
1695-04;9
1695-05;14
1695-06;17
1695-07;14
1695-08;19
1695-09;22
1695-10;7
1695-11;12
1695-12;20
1696-01;28
1696-02;10
1696-03;26
1696-04;22
1696-05;12
1696-06;14
1696-07;20
1696-08;14
1696-09;15
1696-10;12
1696-11;9
1696-12;18
1697-01;20
1697-02;22
1697-03;15
1697-04;14
1697-05;12
1697-06;15
1697-07;14
1697-08;11
1697-09;19
1697-10;16
1697-11;13
1697-12;14
1698-01;28
1698-02;21
1698-03;23
1698-04;22
1698-05;6
1698-06;7
1698-07;16
1698-08;9
1698-09;24
1698-11;19
1698-12;15
1699-01;19
1699-02;22
1699-03;18
1699-04;15
1699-05;13
1699-06;6
1699-07;16
1699-08;8
1699-09;10
1699-10;13
1699-11;9
1699-12;9
2014-10;9
